seed,episode,total_reward,avg_reward_per_step,fruit_count,fruit_rate,wall_hits,wall_hit_rate,self_hits,self_hit_rate,wins,win_rate
777,0,128.19999983906746,0.12819999983906746,278,0.278,0,0.0,54,0.054,0,0.0
777,1,133.49999983608723,0.13349999983608724,289,0.289,0,0.0,55,0.055,0,0.0
777,2,132.9999998509884,0.1329999998509884,286,0.286,0,0.0,50,0.05,0,0.0
777,3,130.09999984502792,0.13009999984502793,281,0.281,0,0.0,52,0.052,0,0.0
777,4,137.29999986290932,0.1372999998629093,291,0.291,0,0.0,46,0.046,1,0.001
777,5,132.79999984800816,0.13279999984800817,286,0.286,0,0.0,51,0.051,0,0.0
777,6,134.29999984800816,0.13429999984800817,289,0.289,0,0.0,51,0.051,0,0.0
777,7,128.799999833107,0.128799999833107,280,0.28,0,0.0,56,0.056,0,0.0
777,8,132.79999984800816,0.13279999984800817,286,0.286,0,0.0,51,0.051,0,0.0
777,9,132.1999998241663,0.1321999998241663,288,0.288,0,0.0,59,0.059,0,0.0
777,10,130.69999983906746,0.13069999983906747,283,0.283,0,0.0,54,0.054,0,0.0
777,11,126.49999983608723,0.12649999983608723,275,0.275,0,0.0,55,0.055,0,0.0
777,12,137.69999983906746,0.13769999983906747,297,0.297,0,0.0,54,0.054,0,0.0
777,13,127.99999983608723,0.12799999983608723,278,0.278,0,0.0,55,0.055,0,0.0
777,14,134.8999998420477,0.1348999998420477,291,0.291,0,0.0,53,0.053,0,0.0
777,15,126.19999983161688,0.12619999983161687,275,0.275,5,0.005,54,0.054,0,0.0
777,16,130.29999984800816,0.13029999984800816,281,0.281,0,0.0,51,0.051,0,0.0
777,17,135.799999833107,0.135799999833107,294,0.294,2,0.002,55,0.055,0,0.0
777,18,136.99999983608723,0.13699999983608724,296,0.296,0,0.0,55,0.055,0,0.0
777,19,134.3999998420477,0.1343999998420477,290,0.29,0,0.0,53,0.053,0,0.0
99,0,132.09999985992908,0.1320999998599291,283,0.283,0,0.0,47,0.047,0,0.0
99,1,132.29999981820583,0.13229999981820584,289,0.289,0,0.0,61,0.061,0,0.0
99,2,127.59999983757734,0.12759999983757733,277,0.277,1,0.001,54,0.054,0,0.0
99,3,131.19999983906746,0.13119999983906747,284,0.284,0,0.0,54,0.054,0,0.0
99,4,131.69999983906746,0.13169999983906747,285,0.285,0,0.0,54,0.054,0,0.0
99,5,130.99999982118607,0.13099999982118607,286,0.286,0,0.0,60,0.06,0,0.0
99,6,141.49999986588955,0.14149999986588954,301,0.301,0,0.0,45,0.045,0,0.0
99,7,137.9999998509884,0.13799999985098838,296,0.296,0,0.0,50,0.05,0,0.0
99,8,133.6999998614192,0.1336999998614192,286,0.286,1,0.001,46,0.046,0,0.0
99,9,139.9999998509884,0.13999999985098838,300,0.3,0,0.0,50,0.05,0,0.0
99,10,133.49999983608723,0.13349999983608724,289,0.289,0,0.0,55,0.055,0,0.0
99,11,130.79999986290932,0.13079999986290933,280,0.28,0,0.0,46,0.046,0,0.0
99,12,136.49999983608723,0.13649999983608724,295,0.295,0,0.0,55,0.055,0,0.0
99,13,135.69999985396862,0.13569999985396863,291,0.291,0,0.0,49,0.049,0,0.0
99,14,133.99999983608723,0.13399999983608724,290,0.29,0,0.0,55,0.055,0,0.0
99,15,132.0999998152256,0.1320999998152256,289,0.289,0,0.0,62,0.062,0,0.0
99,16,130.59999985992908,0.1305999998599291,280,0.28,0,0.0,47,0.047,0,0.0
99,17,135.09999983012676,0.13509999983012677,293,0.293,0,0.0,57,0.057,0,0.0
99,18,129.8999998420477,0.1298999998420477,281,0.281,0,0.0,53,0.053,0,0.0
99,19,123.09999984502792,0.12309999984502792,267,0.267,0,0.0,52,0.052,0,0.0
